"","title","price","sold_at","username","bought_and_sold","designer","sold_price"
"210","Supreme Hardware Tee Black XL",95,"2019-03-11T18:34:19.331Z","SanDiegoExclusives",81,"Supreme",85
"211","MM6 Margiela French Terry Sweatshirt",165,"2019-03-11T22:33:01.399Z","bapey",118,"Maison Margiela",150
"212","Supreme Cat In The Hat Tee Green XL",70,"2019-03-11T19:31:09.076Z","amocat2533",12,"Supreme",65
"213","Playboi Shirt",153,"2019-03-11T20:11:56.328Z","bapey",118,"Vlone",161
"214","Supreme Gonz Butterfly Tee",40,"2019-03-11T17:38:34.830Z","docricketts00",27,"Supreme",35
"215","Maison Martin Margiela Turtleneck/Polo Combo Knit in Tan",40,"2019-03-11T15:21:42.078Z","alejandrodbs",353,"Maison Margiela",31
"216","Supreme Luden’s Tee Royal Blue (FW18)",67,"2019-03-11T16:52:20.477Z","checks",16,"Supreme",50
"217","BNWT All Saints Silk Button Down",100,"2019-03-11T15:25:17.674Z","jonwoodley4",33,"Allsaints",100
"218","Plant Tee Light Pink",20,"2019-03-11T21:58:45.464Z","timokhuizen",4,"Supreme",35
"219","Cigarette Skinny Jean Denim",57,"2019-03-11T16:20:06.117Z","jonwoodley4",33,"Allsaints",57
"220","Faces Tee Bright Orange",65,"2019-03-11T16:45:58.331Z","bman1916",30,"Supreme",45
"221","Supreme Organizer Pouch Red",60,"2019-03-11T17:36:47.363Z","kingkelz",29,"Supreme",67
"222","Silver Necklace",115,"2019-03-11T17:07:33.930Z","mom",4611,"Dior",90
"223","5-Cut Tie-Dye T-Shirt NWT",235,"2019-03-11T15:10:55.107Z","eluxive",1525,"Needles",245
"224","Supreme Kids tee",70,"2019-03-11T15:08:12.885Z","bman1916",30,"Supreme",76
"225","Palace Moorish Shell Top Navy/Black/Blue",153,"2019-03-11T15:35:24.505Z","S7RTY",13,"Palace",155
"226","Golf Wang Striped Hoodie",126,"2019-03-11T16:47:19.911Z","alexbank3",86,"Golf Wang",125
"227","Cherry Bomb Tour T Shirt",90,"2019-03-11T19:57:09.545Z","ddongboys",217,"Odd Future",98
"228","Maison Martin Margiela Gray/Stone OG FW2009 Slim Jeans NWT",69,"2019-03-11T15:01:42.513Z","alejandrodbs",353,"Maison Margiela",50
"229","Supreme collegiate hoodie -Green",100,"2019-03-11T15:00:30.721Z","mikevskate1",18,"Supreme",100
"230","Palace: Tri-Smoke Long Sleeve T-Shirt",120,"2019-03-11T15:01:50.885Z","closetclearout",30,"Palace",90
"231","Off-White box Logo Tee Size S",219,"2019-03-11T14:44:39.659Z","KINGS_SHOPPER",872,"Off-White",195
"232","Officer Trousers - Copper Canvas",60,"2019-03-11T15:03:01.282Z","djdanyknight",54,"Rogue Territory",72
